run_name,exp,run,arc_features,arc_skip,arc_encoder_blocks,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2m_skip1_f8_64_64,Seq2Motif_tRNA,s2m_skip1_f8_64_64,"[8, 64, 64]",1,2,2,2048.0,91281,0.032980184111258255,0.04432811588048935,0.19344303177462685,0.9417795912374318,0.9566385657956576,0.617822308698043,0.9515166195083578,0.9344917746369793,0.5744113678970728,0.0,0.0,0.0
s2m_skip0_f8_64_64,Seq2Motif_tRNA,s2m_skip0_f8_64_64,"[8, 64, 64]",0,2,2,2048.0,78801,0.025542990992898525,0.03888130560517311,0.18346446090274388,0.9515212169615989,0.9688049219774403,0.6337837663528268,0.9643445872061227,0.9444043166417112,0.5883390414529684,0.0,0.0,0.0
s2m_skip1_f8_32_64,Seq2Motif_tRNA,s2m_skip1_f8_32_64,"[8, 32, 64]",1,2,2,2048.0,40177,0.026107650250196457,0.040785047536094986,0.18703697621822357,0.9477894728860443,0.9675047427738331,0.6442716778555604,0.9629320345797454,0.9404503399189562,0.5974316056707029,0.0,0.0,0.0
s2m_skip0_f8_32_64,Seq2Motif_tRNA,s2m_skip0_f8_32_64,"[8, 32, 64]",0,2,2,2048.0,36913,0.029824557835641113,0.041927545641859375,0.16823939979076385,0.9460483914937093,0.9627243315882532,0.6566207401834867,0.9573800731426737,0.9381445837024608,0.6060207953897007,0.0,0.0,0.0
s2m_skip1_f8_32_32,Seq2Motif_tRNA,s2m_skip1_f8_32_32,"[8, 32, 32]",1,2,2,1024.0,24625,0.0329320763602205,0.0450908529261748,0.17406301200389862,0.9416771577066982,0.9578162377743387,0.664620132150074,0.9517347668595317,0.9325781033834303,0.6045325257877641,0.0,0.0,0.0
s2m_skip0_f8_32_32,Seq2Motif_tRNA,s2m_skip0_f8_32_32,"[8, 32, 32]",0,2,2,1024.0,21361,0.031178878579774628,0.042954571545124054,0.18830164108011457,0.9442434138450269,0.9606152777165744,0.5970507934149573,0.9548430095475736,0.936392691999976,0.5645974687982739,0.0,0.0,0.0
s2m_skip1_f8_16_64,Seq2Motif_tRNA,s2m_skip1_f8_16_64,"[8, 16, 64]",1,2,2,2048.0,23841,0.02839671569349973,0.04134899874528249,0.18939412302441067,0.9469379112909863,0.9644558733974249,0.6270561965463196,0.9594878861797266,0.9390605695687174,0.5759078752332482,0.0,0.0,0.0
s2m_skip0_f8_16_64,Seq2Motif_tRNA,s2m_skip0_f8_16_64,"[8, 16, 64]",0,2,2,2048.0,22881,0.03087322065687698,0.04485243558883667,0.17874234086937374,0.943151924949186,0.9615169057671815,0.6467705032240119,0.9559015969243818,0.9344398849607064,0.5982914512708218,0.0,0.0,0.0
s2m_skip1_f8_16_32,Seq2Motif_tRNA,s2m_skip1_f8_16_32,"[8, 16, 32]",1,2,2,1024.0,11361,0.03381227936757648,0.045917365700006485,0.18266157474782732,0.9411761502625312,0.9571279475220491,0.649331702395406,0.9507863047248631,0.9320007172448125,0.5989150494979563,0.0,0.0,0.0
s2m_skip0_f8_16_32,Seq2Motif_tRNA,s2m_skip0_f8_16_32,"[8, 16, 32]",0,2,2,1024.0,10401,0.04052705544492473,0.05165747553110123,0.18068773547808328,0.9311218831536227,0.9474046021759454,0.6379775186168963,0.9395963216013408,0.9208608667971587,0.5923699801074715,0.0,0.0,0.0
