"run_uuid","name","step","train_loss","train_Accuracy","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1"
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,16,0.09326510599771129,0.8890653843618144,0.8779382117632155,0.08956091090732692,0.8928870376275511,0.0,0.8810181057288758
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,17,0.0932127720193018,0.8893682423523207,0.8782899367191928,0.0894732377967056,0.8923987563775511,0.0,0.8804709480553916
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,18,0.09319409801927298,0.8890571433280591,0.8779537671882071,0.08961050318820137,0.8921595982142857,0.0,0.880063973293708
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,19,0.09318562969565392,0.8888645091640295,0.8776576611158212,0.0895358749798366,0.8922991071428571,0.0,0.8806152400102495
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,0,0.15861517780377896,0.8118365967827004,0.7579932491328254,0.09804016929499958,0.881965481505102,0.0,0.8665430122329209
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,1,0.085736321434693,0.9076375840585443,0.9007538756134709,0.07176487064179109,0.9305444834183674,0.0,0.9265235016760808
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,2,0.06537660897438284,0.9454175731803798,0.9427923638632871,0.055918628083808083,0.9545001594387755,0.0,0.9520425482449212
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,3,0.0552348612968806,0.9556045210311181,0.9535090900103133,0.0529260417180402,0.9548688616071429,0.0,0.9524024337886962
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,4,0.05291151576027085,0.9551739270174051,0.9530266229016428,0.051333814403232265,0.9545200892857143,0.0,0.9520367551577904
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,5,0.05187361852466306,0.9525553385416666,0.9502694472683256,0.05042124539613724,0.9515605070153061,0.0,0.9488855318559457
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,6,0.05130424093502232,0.9473521558544303,0.9447526567104103,0.05004243545082151,0.9450035873724489,0.0,0.9418213537872324
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,7,0.05084148343290961,0.9423364566851266,0.9395305533587491,0.04952090530067074,0.9420141103316326,0.0,0.938810077446631
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,8,0.050440124114228706,0.9415844623549579,0.9390318548832622,0.04934178095082847,0.943000637755102,0.0,0.9400650541322668
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,9,0.049994607263476536,0.9443998055116034,0.9423368782619265,0.049004901276559244,0.9453423947704082,0.0,0.9430925915826157
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,10,0.0495449851978303,0.9485471057489452,0.946929254832167,0.048395976576269886,0.9484913105867347,0.0,0.9466794956532065
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,11,0.049147256260997134,0.9511986583597046,0.949855559789765,0.04819675991121603,0.9506636639030612,0.0,0.9492535807648279
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,12,0.04881858471230867,0.9525429769910337,0.9513671784063633,0.048019244354598374,0.9532047193877551,0.0,0.9518190531652096
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,13,0.04854714973409216,0.9544827103111815,0.9534376507258652,0.04783974245798831,0.9550681600765306,0.0,0.9538111365060608
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,14,0.048401320553561555,0.9555272613396625,0.9545624895490703,0.04770266538371845,0.9560347576530612,0.0,0.9548231581620978
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,15,0.048296707230403954,0.9561937549446202,0.9552742951210881,0.047628495081955075,0.9562141262755102,0.0,0.9551471043242467
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,16,0.048203297045852064,0.9563719672995781,0.9554717524761006,0.047964260818398725,0.9547791772959183,0.0,0.9540393007921253
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,17,0.04813798619159163,0.9567325125263713,0.9558599037159452,0.04792086468363295,0.9554567920918368,0.0,0.9545798940677543
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,18,0.04808583265398374,0.9565512097837553,0.9556786764276161,0.0479863669191088,0.9568120216836735,0.0,0.9554818896814719
"053b0f0797df47a1af0e764f6712eb54",UNet-num_convs-1-1-stride-2-2,19,0.048072591620469896,0.9566665842563291,0.9558005889571954,0.04743322205482697,0.9569714604591837,0.0,0.9558568621260954
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,0,0.1631420802340729,0.7965772926555907,0.7069692367969745,0.14025476848592563,0.8128786670918368,0.0,0.7316411658135294
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,1,0.14382759354348423,0.8047760911128692,0.7383140207667668,0.12974225227930108,0.8245974170918368,0.0,0.779352334364025
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,2,0.135943519933943,0.8150701724024262,0.7691312217149886,0.12686227322841176,0.8280851403061225,0.0,0.7835411234110766
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,3,0.13218660082055045,0.8221368588475738,0.7821909615318856,0.12173572258681667,0.8356385522959183,0.0,0.7992823335544154
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,4,0.12458942170384564,0.8359354397415611,0.8055909074590217,0.11693313109631441,0.8471281090561225,0.0,0.8161704317649955
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,5,0.12223911382855242,0.8416248434203587,0.8130515558930376,0.11650498469873351,0.8487922512755102,0.0,0.818556488906465
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,6,0.12167450958540671,0.8429011735232067,0.8148150199198557,0.11624962045830123,0.8485530931122449,0.0,0.8194605297606959
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,7,0.12121263256430123,0.8433503098628692,0.8156127104231292,0.11608461716345378,0.8479053730867347,0.0,0.8184547356888997
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,8,0.12075971667399386,0.8431659167325949,0.8155663104351707,0.11578000093601187,0.8473473373724489,0.0,0.8169076290900994
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,9,0.12018596454826086,0.8426982380669831,0.815300597182933,0.115469577513179,0.8468391262755102,0.0,0.8161706203718901
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,10,0.11973187968700746,0.8427971304720464,0.8160428325654047,0.11492206384332812,0.847526705994898,0.0,0.8173016788816001
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,11,0.1194253882966967,0.8422388004351266,0.8159700015296708,0.1145587657787362,0.8477359693877551,0.0,0.8199616945302981
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,12,0.11914882903234868,0.8423139998681435,0.8165562596144444,0.11474537393268273,0.8469686702806123,0.0,0.8191080329232576
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,13,0.11890648112078256,0.8422181978507384,0.8167274305463793,0.11443573418928653,0.8467295121173469,0.0,0.8177439976801835
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,14,0.11869000200229356,0.8421800830696202,0.8167750205505585,0.11419556259500738,0.8469985650510204,0.0,0.8180467692679978
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,15,0.11851983133876375,0.8425334173918776,0.8171730685197451,0.11425751493293412,0.8468690210459183,0.0,0.818184971546537
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,16,0.11836606218530658,0.8427734375,0.8174574360075484,0.11435870567754823,0.8478555484693877,0.0,0.820152887527576
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,17,0.11826687065672271,0.8430155178665611,0.8176056411264838,0.11408479025169295,0.8478256536989796,0.0,0.8185958058032099
