run_name,exp,run,arc_features,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
mlp_f4_4_8,SimpleMLP_cd-hit0_full,mlp_f4_4_8,"[4, 4, 8]",12864,0.08425643310571711,0.10983087122440338,0.09002892460141863,0.5845890252095618,0.6448159557666787,0.6243652851657364,0.6332828162559159,0.5817450458914325,0.6355617563601125,0.0,0.0,0.0
mlp_f4_4_4,SimpleMLP_cd-hit0_full,mlp_f4_4_4,"[4, 4, 4]",10796,0.08516830050696929,0.1043480070573943,0.09074693492480687,0.6214152470607981,0.6398186169578368,0.6369152169630607,0.6298704170626811,0.6266811581559111,0.6370526459401652,0.0,0.0,0.0
mlp_f64_64,SimpleMLP_cd-hit0_full,mlp_f64_64,"[64, 64]",168576,0.08174302475526929,0.10719026518719536,0.0806502274104527,0.5907141003986502,0.665183622112274,0.6538260066840201,0.6548923516215974,0.6082395326507906,0.67017263345935,0.0107421875,0.0,0.0
mlp_f32_64,SimpleMLP_cd-hit0_full,mlp_f32_64,"[32, 64]",100960,0.07478833803907037,0.09949339074747902,0.07866470941475459,0.6364856441796853,0.7121412314962554,0.6467873149765458,0.6992068899975213,0.6464143382219361,0.6672803317843474,0.0,0.0,0.0
mlp_f32_32,SimpleMLP_cd-hit0_full,mlp_f32_32,"[32, 32]",83520,0.07740415663768847,0.10466337629726954,0.0808088481426239,0.5888880617797101,0.670471777919276,0.6632811495539634,0.6695273544340828,0.6093791836504615,0.6683577350549879,0.0,0.0,0.0
mlp_f16_64,SimpleMLP_cd-hit0_full,mlp_f16_64,"[16, 64]",67152,0.07583301390210788,0.10384163154023034,0.07862257318837303,0.6222247802469606,0.7064512467459215,0.6429097756388623,0.692575797002776,0.6279248646352817,0.6699939855177446,0.0029296875,0.0,0.0
mlp_f16_32,SimpleMLP_cd-hit0_full,mlp_f16_32,"[16, 32]",50224,0.07278870077182849,0.09673394475664411,0.07992772864443916,0.6260198648504388,0.6987875236885218,0.653976353230396,0.6957546154324946,0.6411317156295697,0.6671334085261164,0.0,0.0,0.0
mlp_f16_16,SimpleMLP_cd-hit0_full,mlp_f16_16,"[16, 16]",41760,0.07762184987465541,0.10679996226515089,0.08062235798154559,0.5764987262669896,0.662595262249951,0.6503828285417412,0.665354696130868,0.6024341215404274,0.6629975051381016,0.0,0.0,0.0
mlp_f8_64,SimpleMLP_cd-hit0_full,mlp_f8_64,"[8, 64]",50248,0.0805998647895952,0.10641432234219142,0.08447707231555666,0.5902357790636968,0.6650378611294219,0.6359682660295073,0.6591676070015725,0.6092229319267732,0.6488864274597065,0.0,0.0,0.0
mlp_f8_32,SimpleMLP_cd-hit0_full,mlp_f8_32,"[8, 32]",33576,0.07829762777934472,0.10663706596408572,0.0865047669836453,0.5969864625044047,0.6690820329251729,0.6227096450907974,0.6611759488435824,0.6119253721721122,0.6457634744840115,0.0,0.0,0.0
mlp_f8_16,SimpleMLP_cd-hit0_full,mlp_f8_16,"[8, 16]",25240,0.07428543091130753,0.09982632207018989,0.08133952958243233,0.6129270853620706,0.6930708677911298,0.6508498341268221,0.6851055910898584,0.6323982278761423,0.6574682056992295,0.0,0.0,0.0
mlp_f8_8,SimpleMLP_cd-hit0_full,mlp_f8_8,"[8, 8]",21072,0.07676335734625657,0.10040212954793658,0.08223384831632886,0.6074294220476802,0.6743073709233921,0.6495616863751349,0.670087035777716,0.6246949512150631,0.658482941781285,0.0,0.0,0.0
mlp_f4_64,SimpleMLP_cd-hit0_full,mlp_f4_64,"[4, 64]",41796,0.1215366229104499,0.14503705288682664,0.12625402212142944,0.35316979435805756,0.43840171812456047,0.4136142452004436,0.5471097801613356,0.5220039974005811,0.5567409551430499,0.0,0.0,0.0
mlp_f4_32,SimpleMLP_cd-hit0_full,mlp_f4_32,"[4, 32]",25252,0.0784880508047839,0.10725744600806918,0.08667973003217153,0.5979230601609707,0.6653850178897461,0.6192092258983767,0.6599799383314392,0.6001724268038997,0.6400206793442751,0.0,0.0,0.0
mlp_f4_16,SimpleMLP_cd-hit0_full,mlp_f4_16,"[4, 16]",16980,0.08068339200690389,0.1083739602140018,0.08820036479404994,0.601590916330627,0.6569314162520677,0.632238436093482,0.6486293215513353,0.5927534941643231,0.6355703889854176,0.0,0.0,0.0
mlp_f4_8,SimpleMLP_cd-hit0_full,mlp_f4_8,"[4, 8]",12844,0.12161238538101315,0.14637657361371176,0.12669570850474493,0.3702057550617695,0.42733252514702813,0.3975960078621941,0.5439351561509772,0.5215781995072942,0.5537731538344962,0.0,0.0,0.0
mlp_f4_4,SimpleMLP_cd-hit0_full,mlp_f4_4,"[4, 4]",10776,0.12146087844545643,0.14546175301074982,0.12647919995444162,0.3401739472758796,0.4272049952773956,0.3941370246598551,0.5446513533590907,0.5206020435753361,0.5542614614768533,0.0,0.0,0.0
