,model,run_name,exp,run,arc_features,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq,arc_skip,arc_encoder_blocks,arc_kernels,limit
93,MLP,SMLP_f16_32_64,SimpleMLP,SMLP_f16_32_64,"[16, 32, 64]",,,19184,0.0865411877632141,0.1583144813776016,0.0823414474725723,0.7313175805505833,0.8745657686504092,0.8762502421058904,0.8580379431650171,0.7234415339335654,0.8599420965634369,0.0,0.0,0.0,,,,128
94,MLP,SMLP_f16_32_32,SimpleMLP,SMLP_f16_32_32,"[16, 32, 32]",,,14032,0.0838887227078278,0.1402454283088445,0.0827830769121646,0.7569513135249215,0.8840392055532614,0.876347299005928,0.8699375445094343,0.7548142957220443,0.8610769742169132,0.0,0.0,0.0,,,,128
95,MLP,SMLP_f16_16_64,SimpleMLP,SMLP_f16_16_64,"[16, 16, 64]",,,17888,0.0906664190193017,0.1474129203706979,0.0875969938933849,0.7277298057956927,0.8667975251065488,0.8648206213766148,0.8491883544467078,0.7256779367788464,0.8482425878097138,0.0,0.0,0.0,,,,128
96,MLP,SMLP_f16_16_32,SimpleMLP,SMLP_f16_16_32,"[16, 16, 32]",,,13248,0.083291831985116,0.1271952856332063,0.0751627441495657,0.7461790662763319,0.8809259483649278,0.8949297504148619,0.8659009397096625,0.7628956306524326,0.8805077340663205,0.0036458333333333,0.0,0.0,,,,128
97,MLP,SMLP_f16_16_16,SimpleMLP,SMLP_f16_16_16,"[16, 16, 16]",,,10928,0.0882432252168655,0.1757101211696863,0.0667947875335812,0.7147485931721665,0.8786264513077395,0.8979071524995059,0.8638605134227237,0.7165602480389657,0.8840455238309446,0.0,0.0,0.0,,,,128
98,MLP,SMLP_f64_64,SimpleMLP,SMLP_f64_64,"[64, 64]",,,45312,0.0570770185440778,0.1912199594080448,0.0564865907654166,0.7689347214024013,0.930099958827738,0.9233016951939016,0.9206694162899088,0.770626678708311,0.9128876791455308,0.0492708335320154,0.01953125,0.0,,,,128
99,MLP,SMLP_f32_64,SimpleMLP,SMLP_f32_64,"[32, 64]",,,26848,0.0589110353340705,0.1384877562522888,0.0568183278664946,0.7725979750703371,0.9217067698949226,0.918210941546126,0.911632201706265,0.7694083079996713,0.9073380556242476,0.0010416666666666,0.0,0.0,,,,128
100,MLP,SMLP_f32_32,SimpleMLP,SMLP_f32_32,"[32, 32]",,,21696,0.0602462037156025,0.1274983901530504,0.0588487433269619,0.8110407680449397,0.9228545581644884,0.9099056224414568,0.9120719961075822,0.8101566185116346,0.8995096673012051,0.003125,0.0,0.0,,,,128
101,MLP,SMLP_f16_64,SimpleMLP,SMLP_f16_64,"[16, 64]",,,17616,0.0790239747613668,0.1558465249836444,0.0792618105188012,0.7251047558237934,0.8903406883851167,0.8946634066396035,0.8757169227429833,0.7284967033466199,0.8803306351330378,0.0,0.0,0.0,,,,128
102,MLP,SMLP_f16_32,SimpleMLP,SMLP_f16_32,"[16, 32]",,,12976,0.0694857399910688,0.1252462435513734,0.0720852520316839,0.7922823506216592,0.9039067502486966,0.8954120084921601,0.8911994927146923,0.8040189937680099,0.8828679937877046,0.0013541666790843,0.0,0.0,,,,128
103,MLP,SMLP_f16_16,SimpleMLP,SMLP_f16_16,"[16, 16]",,,10656,0.0710202223310867,0.11321572214365,0.077230479568243,0.7974340342547575,0.9005534541839599,0.8931847254347562,0.8877722421811611,0.7977419452254835,0.8796255598841795,0.0020833333333333,0.01171875,0.0,,,,128
104,MLP,SMLP_f64,SimpleMLP,SMLP_f64,[64],,,41152,0.0456769491856296,0.1307659018784761,0.0531439501792192,0.8133857805962366,0.944606604113193,0.9285828676820744,0.9372003797673184,0.8216135089577752,0.9185165955922154,0.0,0.0,0.0,,,,128
105,MLP,SMLP_f32,SimpleMLP,SMLP_f32,[32],,,20640,0.0502036698162555,0.1635517217218876,0.056875230744481,0.7958709553432868,0.93901078612541,0.91812262623563,0.9306342489917172,0.794955533911262,0.906927243968708,0.0,0.0,0.0,,,,128
106,MLP,SMLP_f16,SimpleMLP,SMLP_f16,[16],,,10384,0.0608419864128033,0.138260057196021,0.0671268729493022,0.7887910882627697,0.9214721574525344,0.9060353462729736,0.9106799206487456,0.786870801215364,0.8935498364630362,0.0,0.0,0.0,,,,128
107,MLP,SMLP_f16_16_16,SimpleMLP_compress,SMLP_f16_16_16,"[16, 16, 16]",,,10928,0.0882432252168655,0.1757101211696863,0.0667947875335812,0.7147485931721665,0.8786264513077395,0.8979071524995059,0.8638605134227237,0.7165602480389657,0.8840455238309446,0.0,0.0,0.0,,,,128
108,MLP,SMLP_f8_16_16,SimpleMLP_compress,SMLP_f8_16_16,"[8, 16, 16]",,,6696,0.0918157383799553,0.153148990124464,0.1082753799855709,0.7286074652394592,0.8630999362229189,0.8293009869220915,0.8463163645134497,0.7278553831326102,0.8076436547783576,0.0,0.0,0.0,,,,128
109,MLP,SMLP_f8_8_16,SimpleMLP_compress,SMLP_f8_8_16,"[8, 8, 16]",,,6496,0.082755376646916,0.1798370461910963,0.0893355924636125,0.6954994433292911,0.8800142205212081,0.8668405034710256,0.8634181057561473,0.681734865577255,0.8492075511268339,0.0,0.0,0.0,,,,128
110,MLP,SMLP_f8_8_8,SimpleMLP_compress,SMLP_f8_8_8,"[8, 8, 8]",,,5400,0.0925741302470366,0.1508834864944219,0.1063889674842357,0.713995824994011,0.85674759137224,0.8228371745486562,0.8386120609662985,0.7119209190082934,0.8021255249693222,0.0,0.0,0.0,,,,128
111,MLP,SMLP_f4_16_16,SimpleMLP_compress,SMLP_f4_16_16,"[4, 16, 16]",,,4580,0.0864561396340529,0.1473710965365171,0.0988794192671775,0.7361891915608187,0.870980950385942,0.8552317042296218,0.8539570468081563,0.7363158355025896,0.8339026566219904,0.0,0.0,0.0,,,,128
112,MLP,SMLP_f4_8_16,SimpleMLP_compress,SMLP_f4_8_16,"[4, 8, 16]",,,4412,0.0983080277840296,0.1469601653516292,0.1097402833402156,0.7187508035536764,0.8530197258948112,0.8311229243036796,0.8335976601134572,0.7232217398763884,0.8051976732159809,0.0,0.0,0.0,,,,128
113,MLP,SMLP_f4_8_8,SimpleMLP_compress,SMLP_f4_8_8,"[4, 8, 8]",,,3316,0.0903106682002544,0.1750112529844045,0.0856599137187004,0.7179701665191898,0.8696112484278452,0.8811682209813123,0.8512547796577186,0.7058023900023034,0.862577647258779,0.0,0.0,0.0,,,,128
114,MLP,SMLP_f4_4_16,SimpleMLP_compress,SMLP_f4_4_16,"[4, 4, 16]",,,4328,0.0758665579060713,0.1409850213676691,0.0824593193829059,0.7434756791045742,0.8866881648977346,0.8770871667319697,0.8719598033819804,0.7348722903129011,0.861151748259149,0.0,0.0,0.0,,,,128
