run_name,arc_features,arc_encoder_blocks,arc_num_params,arc_latent_volume,arc_num_conv,arc_skip,arc_kernel,test_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq,name,train_swaps
skip0_kernel7_noise_0.9_n4_0_n8_1-0.7,"[4, 8]",1,1208,512.0,2,0,7,0.7,,,0.12698089331388474,,,0.4242064861377781,,,0.4242064861377781,,,0.0,skip0_kernel7_noise_0.9_n4_0_n8_1-0.7,0.9
skip0_kernel7_noise_0.9_n4_0_n8_1-0.5,"[4, 8]",1,1208,512.0,2,0,7,0.5,,,0.11356687918305397,,,0.5147893574364169,,,0.5147893574364169,,,0.0,skip0_kernel7_noise_0.9_n4_0_n8_1-0.5,0.9
skip0_kernel7_noise_0.9_n4_0_n8_1-0.3,"[4, 8]",1,1208,512.0,2,0,7,0.3,,,0.10302541591227055,,,0.59088120071915,,,0.59088120071915,,,0.0,skip0_kernel7_noise_0.9_n4_0_n8_1-0.3,0.9
skip0_kernel7_noise_0.9_n4_0_n8_1-0.2,"[4, 8]",1,1208,512.0,2,0,7,0.2,,,0.09849412553012371,,,0.6229945730806044,,,0.6229945730806044,,,0.0,skip0_kernel7_noise_0.9_n4_0_n8_1-0.2,0.9
skip0_kernel7_noise_0.9_n4_0_n8_1-0.1,"[4, 8]",1,1208,512.0,2,0,7,0.1,,,0.09506775252521038,,,0.648820982434885,,,0.648820982434885,,,0.0,skip0_kernel7_noise_0.9_n4_0_n8_1-0.1,0.9
skip0_kernel7_noise_0.9_n4_0_n8_1-0.0,"[4, 8]",1,1208,512.0,2,0,7,0.0,,,0.09193883091211319,,,0.6729792955262711,,,0.6729792955262711,,,0.0,skip0_kernel7_noise_0.9_n4_0_n8_1-0.0,0.9
skip0_kernel7_noise_0.9_n4_0_n8_1,"[4, 8]",1,1208,512.0,2,0,7,,0.14341146349906922,0.09086984395980835,,0.7065690577868883,0.3687283689672654,,0.3687283689672654,0.7065690577868882,,0.0,0.0,,skip0_kernel7_noise_0.9_n4_0_n8_1,0.9
skip0_kernel3_noise_0.9_n4_0_n8_1-0.9,"[4, 8]",1,696,512.0,2,0,3,0.9,,,0.1450314112007618,,,0.3293519603298287,,,0.3293519603298287,,,0.0,skip0_kernel3_noise_0.9_n4_0_n8_1-0.9,0.9
skip0_kernel3_noise_0.9_n4_0_n8_1-0.7,"[4, 8]",1,696,512.0,2,0,3,0.7,,,0.1263832524418831,,,0.42942320331880635,,,0.42942320331880635,,,0.0,skip0_kernel3_noise_0.9_n4_0_n8_1-0.7,0.9
skip0_kernel3_noise_0.9_n4_0_n8_1-0.5,"[4, 8]",1,696,512.0,2,0,3,0.5,,,0.1110133733600378,,,0.5222256648736205,,,0.5222256648736205,,,0.0,skip0_kernel3_noise_0.9_n4_0_n8_1-0.5,0.9
skip0_kernel3_noise_0.9_n4_0_n8_1-0.3,"[4, 8]",1,696,512.0,2,0,3,0.3,,,0.09687311388552189,,,0.6077662271468505,,,0.6077662271468505,,,0.0,skip0_kernel3_noise_0.9_n4_0_n8_1-0.3,0.9
