run_name,exp,run,arc_features,arc_num_conv,arc_skip,arc_encoder_blocks,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2pp_nc2_skip_0_f4_8,seq2pp,s2pp_nc2_skip_0_f4_8,"[4, 8]",2,0,1,512.0,681,0.10076179678241412,0.15789835900068283,0.1314868163317442,0.739562682987008,0.8575370532698395,0.7957913092226503,0.8349619383916795,0.7203427491966483,0.7693799602217455,0.0,0.0,0.0
s2pp_nc2_skip_1_f4_4,seq2pp,s2pp_nc2_skip_1_f4_4,"[4, 4]",2,1,1,256.0,465,0.1069738025466601,0.16548485308885574,0.1350165158510208,0.729792670674617,0.8463896627731545,0.7819027375367313,0.8221944426903429,0.7077269745217478,0.7609591230706183,0.0,0.0,0.0
s2pp_nc2_skip_0_f4_4,seq2pp,s2pp_nc2_skip_0_f4_4,"[4, 4]",2,0,1,256.0,417,0.11638444885611535,0.1531408615410328,0.13847192376852036,0.7351466105915223,0.8319695346364374,0.7741699782207859,0.8029530587847987,0.7139737332035756,0.7523079937433412,0.0,0.0,0.0
s2pp_nc2_skip_1_f32,seq2pp,s2pp_nc2_skip_1_f32,[32],2,1,0,4096.0,3681,0.130150143802166,0.1615111455321312,0.15499702841043472,0.6952748145755349,0.8002871730540139,0.7385986471655932,0.7696136958842724,0.6864675623845397,0.715927000594017,0.0,0.0,0.0
s2pp_nc2_skip_0_f32,seq2pp,s2pp_nc2_skip_0_f32,[32],2,0,0,4096.0,3681,0.1291646756231785,0.16814979910850525,0.1490498147904873,0.7073557510937223,0.803160626411404,0.7523488670136628,0.7723854259323055,0.6798153200506472,0.7230747268076533,0.0,0.0,0.0
s2pp_nc2_skip_1_f16,seq2pp,s2pp_nc2_skip_1_f16,[16],2,1,0,2048.0,1073,0.13197159642974535,0.168859601020813,0.14924675971269608,0.7019867754306294,0.8001450590167635,0.7565138756548848,0.768375420186689,0.6791514013634903,0.7251321513783857,0.0,0.0,0.0
s2pp_nc2_skip_0_f16,seq2pp,s2pp_nc2_skip_0_f16,[16],2,0,0,2048.0,1073,0.13157777811090152,0.1672159731388092,0.1522573083639145,0.7029591490661709,0.7997141085028937,0.74656297967104,0.7676564292794065,0.6808713850756442,0.7192860296475824,0.0,0.0,0.0
s2pp_nc2_skip_1_f8,seq2pp,s2pp_nc2_skip_1_f8,[8],2,1,0,1024.0,345,0.14106625566879907,0.16848545521497726,0.15833447873592377,0.7012048117394253,0.7862660739365572,0.7218740761115887,0.7508345277985045,0.6748130752408584,0.6978085197077354,0.0,0.0,0.0
s2pp_nc2_skip_0_f8,seq2pp,s2pp_nc2_skip_0_f8,[8],2,0,0,1024.0,345,0.14106625467538833,0.16822106018662453,0.15834316238760948,0.7003599769964592,0.7862660739365572,0.7219088834225799,0.7508345277985045,0.6744473786881304,0.697887349422036,0.0,0.0,0.0
s2pp_nc2_skip_1_f4,seq2pp,s2pp_nc2_skip_1_f4,[4],2,1,0,512.0,125,0.1546521430214246,0.1747560054063797,0.16875409334897995,0.6704634422620904,0.7665234125953917,0.7062142700265629,0.7251441497160462,0.6459726611239119,0.6710919932094165,0.0,0.0,0.0
s2pp_nc2_skip_0_f4,seq2pp,s2pp_nc2_skip_0_f4,[4],2,0,0,512.0,125,0.15432652135690053,0.17615024000406265,0.17132167145609856,0.675792916417661,0.7668141130951122,0.680660542428481,0.7251419513741371,0.6414913747445897,0.6480406619345251,0.0,0.0,0.0
s2pp_nc1_skip_1_f32_32_32,seq2pp,s2pp_nc1_skip_1_f32_32_32,"[32, 32, 32]",1,1,2,1024.0,25537,0.02041772169371446,0.1362722422927618,0.09638201259076595,0.7933995154914978,0.9738471317476348,0.8642792815220405,0.9704770310904264,0.7967196606245391,0.8477447490439343,0.0,0.0,0.0
s2pp_nc1_skip_0_f32_32_32,seq2pp,s2pp_nc1_skip_0_f32_32_32,"[32, 32, 32]",1,0,2,1024.0,19393,0.03081078380346298,0.14076503179967403,0.107914499938488,0.7796788413184124,0.9589443142823633,0.8408789394669424,0.9534831049625337,0.7776436968139913,0.8104144880791878,0.0,0.0,0.0
s2pp_nc1_skip_1_f16_32_32,seq2pp,s2pp_nc1_skip_1_f16_32_32,"[16, 32, 32]",1,1,2,1024.0,17537,0.02521711674829324,0.13666015304625034,0.08839330077171326,0.7930690993988463,0.9672847588385676,0.8709234490778965,0.9629768951566897,0.7971838464937303,0.8546767400766113,0.0,0.0,0.0
s2pp_nc1_skip_0_f16_32_32,seq2pp,s2pp_nc1_skip_0_f16_32_32,"[16, 32, 32]",1,0,2,1024.0,13697,0.033464522038896875,0.13478077203035355,0.09547398239374161,0.7876364738034742,0.955138058464124,0.8571662833772119,0.949096445236797,0.7832201899474338,0.8362549884869204,0.0,0.0,0.0
s2pp_nc1_skip_1_f16_16_32,seq2pp,s2pp_nc1_skip_1_f16_16_32,"[16, 16, 32]",1,1,2,1024.0,8209,0.03591571388145288,0.14195607975125313,0.10971107333898544,0.7866809297030821,0.952618640487012,0.8444328881530577,0.9462325122813188,0.7792469087388735,0.8275052586480327,0.0,0.0,0.0
s2pp_nc1_skip_0_f16_16_32,seq2pp,s2pp_nc1_skip_0_f16_16_32,"[16, 16, 32]",1,0,2,1024.0,6673,0.04316629382471244,0.1382493246346712,0.10361817851662636,0.7753053326843249,0.9406067841726914,0.8431853656054626,0.9323984893125103,0.766075775469378,0.8260592574116897,0.0,0.0,0.0
s2pp_nc1_skip_1_f16_16_16,seq2pp,s2pp_nc1_skip_1_f16_16_16,"[16, 16, 16]",1,1,2,512.0,6625,0.04000775627791882,0.14941991493105888,0.10059192590415478,0.7671832352445774,0.9462249879677208,0.8432176171067955,0.9390665053759777,0.7588320391442568,0.8281706262733894,0.0,0.0,0.0
s2pp_nc1_skip_0_f16_16_16,seq2pp,s2pp_nc1_skip_0_f16_16_16,"[16, 16, 16]",1,0,2,512.0,5089,0.05395968606074651,0.14217021316289902,0.1179541889578104,0.7625374230834612,0.9252297395512569,0.8255254513941448,0.914679849515831,0.7580311204498061,0.8051796656368023,0.0,0.0,0.0
s2pp_nc1_skip_1_f8_32_32,seq2pp,s2pp_nc1_skip_1_f8_32_32,"[8, 32, 32]",1,1,2,1024.0,14689,0.029906953250368438,0.13654455356299877,0.10109671764075756,0.7837177852734037,0.9601745337114448,0.8457780423664198,0.9549634560408359,0.7910455293380594,0.8304949643936943,0.0,0.0,0.0
s2pp_nc1_skip_0_f8_32_32,seq2pp,s2pp_nc1_skip_0_f8_32_32,"[8, 32, 32]",1,0,2,1024.0,11425,0.03597547175983588,0.14027727954089642,0.1074924673885107,0.7687986909561261,0.9513795655194996,0.8299459417704078,0.9448158805275189,0.7715822366116069,0.8123592088622256,0.0,0.0,0.0
s2pp_nc1_skip_1_f8_16_32,seq2pp,s2pp_nc1_skip_1_f8_16_32,"[8, 16, 32]",1,1,2,1024.0,6129,0.04463864217201869,0.14466542750597,0.10850720666348934,0.7696568371538947,0.9400084782398529,0.8380775575629305,0.9317945650262673,0.7639263230562894,0.8140777889156253,0.0,0.0,0.0
s2pp_nc1_skip_0_f8_16_32,seq2pp,s2pp_nc1_skip_0_f8_16_32,"[8, 16, 32]",1,0,2,1024.0,5169,0.048002097258965176,0.14196456596255302,0.11753013357520103,0.7702560160044222,0.9343975339666859,0.8222269189975263,0.9253677447641128,0.7651988073888175,0.806304123935915,0.0,0.0,0.0
s2pp_nc1_skip_1_f8_16_16,seq2pp,s2pp_nc1_skip_1_f8_16_16,"[8, 16, 16]",1,1,2,512.0,4545,0.051757986967762314,0.1392611712217331,0.10009877011179924,0.7674457337611583,0.930756756613702,0.8468323015362226,0.9210280474877507,0.7757026034567659,0.8271877094777854,0.0,0.0,0.0
s2pp_nc1_skip_0_f8_16_16,seq2pp,s2pp_nc1_skip_0_f8_16_16,"[8, 16, 16]",1,0,2,512.0,3585,0.058061442772547406,0.13713417202234268,0.10833089426159859,0.7734020662548649,0.9188349074805785,0.8356453042822172,0.9072232096483444,0.7722674134308527,0.8161482363924824,0.0,0.0,0.0
s2pp_nc1_skip_1_f8_8_32,seq2pp,s2pp_nc1_skip_1_f8_8_32,"[8, 8, 32]",1,1,2,1024.0,3001,0.06126797360678514,0.1454002484679222,0.11858007870614529,0.751611964844006,0.9157329125141075,0.8204103869090995,0.9037742969539388,0.74979943887839,0.7962501736404639,0.0,0.0,0.0
s2pp_nc1_skip_0_f8_8_32,seq2pp,s2pp_nc1_skip_0_f8_8_32,"[8, 8, 32]",1,0,2,1024.0,2617,0.06827000342309475,0.14740045554935932,0.1278659552335739,0.7432925537325742,0.90454074124583,0.7928472986365552,0.8900943168270001,0.7432379314909673,0.7711034895273667,0.0,0.0,0.0
s2pp_nc1_skip_1_f8_8_16,seq2pp,s2pp_nc1_skip_1_f8_8_16,"[8, 8, 16]",1,1,2,512.0,2185,0.06494391870995363,0.1409244816750288,0.11582837998867035,0.763384743843427,0.9106620306833252,0.8303141115167264,0.8976778356204017,0.7626783159055402,0.8084232256668953,0.0,0.0,0.0
s2pp_nc1_skip_0_f8_8_16,seq2pp,s2pp_nc1_skip_0_f8_8_16,"[8, 8, 16]",1,0,2,512.0,1801,0.0790296400586764,0.15103776566684246,0.11818919889628887,0.7499905995692944,0.8890839498155656,0.8253359363803583,0.8717192588954998,0.7382151869474928,0.7983477841303221,0.0,0.0,0.0
s2pp_nc1_skip_1_f8_8_8,seq2pp,s2pp_nc1_skip_1_f8_8_8,"[8, 8, 8]",1,1,2,256.0,1777,0.07280852397282918,0.14338534511625767,0.10727074556052685,0.7622769675822547,0.8989073884599478,0.8338152864144325,0.8841798501110404,0.7597587610400458,0.8123737139422911,0.0,0.0,0.0
s2pp_nc1_skip_0_f8_8_8,seq2pp,s2pp_nc1_skip_0_f8_8_8,"[8, 8, 8]",1,0,2,256.0,1393,0.08659958640734354,0.14055544137954712,0.1321180835366249,0.7572308951353648,0.8779309106998601,0.7965705706776086,0.8589480800471453,0.7462931155943815,0.7708089483595322,0.0,0.0,0.0
s2pp_nc1_skip_1_f4_32_32,seq2pp,s2pp_nc1_skip_1_f4_32_32,"[4, 32, 32]",1,1,2,1024.0,13553,0.033504441690941654,0.14597556553781033,0.11371644772589207,0.7730380308215439,0.9559731653590063,0.8315968558942008,0.9500556307772444,0.7718794730514548,0.8133257329310206,0.0,0.0,0.0
s2pp_nc1_skip_0_f4_32_32,seq2pp,s2pp_nc1_skip_0_f4_32_32,"[4, 32, 32]",1,0,2,1024.0,10433,0.03949732904632886,0.14235637709498405,0.10605291090905666,0.7724009247764215,0.9468037601896289,0.8381284914459944,0.9395614269730146,0.7637506556669531,0.817079389276194,0.0,0.0,0.0
s2pp_nc1_skip_1_f4_16_32,seq2pp,s2pp_nc1_skip_1_f4_16_32,"[4, 16, 32]",1,1,2,1024.0,5377,0.047146023437380793,0.15073085390031338,0.10999990627169609,0.7625761610273616,0.9366884988905768,0.831344509905859,0.9279102966022,0.7550132222541353,0.8160331227507263,0.0,0.0,0.0
s2pp_nc1_skip_0_f4_16_32,seq2pp,s2pp_nc1_skip_0_f4_16_32,"[4, 16, 32]",1,0,2,1024.0,4561,0.0541514257589976,0.1459543202072382,0.10915910825133324,0.7576747100835282,0.925311046914263,0.8325101096533406,0.91476382054019,0.7505262882353374,0.8107654207993062,0.0,0.0,0.0
s2pp_nc1_skip_1_f4_16_16,seq2pp,s2pp_nc1_skip_1_f4_16_16,"[4, 16, 16]",1,1,2,512.0,3793,0.056570037330190344,0.14174006134271622,0.12544246949255466,0.7602633137662516,0.9229184719979984,0.8060906755127323,0.9118969126078873,0.7595681674648043,0.7832471793192416,0.0,0.0,0.0
s2pp_nc1_skip_0_f4_16_16,seq2pp,s2pp_nc1_skip_0_f4_16_16,"[4, 16, 16]",1,0,2,512.0,2977,0.06864580896993479,0.15315176732838154,0.11938727647066116,0.7465656280157635,0.9042462475281474,0.817679863049488,0.8901480181488091,0.7390019404928563,0.7957306870495691,0.0,0.0,0.0
s2pp_nc1_skip_1_f4_8_32,seq2pp,s2pp_nc1_skip_1_f4_8_32,"[4, 8, 32]",1,1,2,1024.0,2441,0.06824977161983649,0.1456781104207039,0.1175865177065134,0.7546976472332266,0.9066592070189173,0.8201681176418121,0.8927089614359152,0.7504161030190374,0.7999475581658251,0.0,0.0,0.0
s2pp_nc1_skip_0_f4_8_32,seq2pp,s2pp_nc1_skip_0_f4_8_32,"[4, 8, 32]",1,0,2,1024.0,2201,0.07276426876584689,0.1504872553050518,0.12855048850178719,0.7375297249581625,0.8983665957030816,0.800512136284014,0.8828243836118673,0.748753821455648,0.7820785325705296,0.0,0.0,0.0
s2pp_nc1_skip_1_f4_8_16,seq2pp,s2pp_nc1_skip_1_f4_8_16,"[4, 8, 16]",1,1,2,512.0,1625,0.07773444503545761,0.15869608335196972,0.13673041015863419,0.747451200597217,0.8917515058344375,0.7832379341571004,0.8756091693252992,0.7330531143170915,0.7641454842612566,0.0,0.0,0.0
s2pp_nc1_skip_0_f4_8_16,seq2pp,s2pp_nc1_skip_0_f4_8_16,"[4, 8, 16]",1,0,2,512.0,1385,0.08789279982447624,0.1582106538116932,0.14340626075863838,0.7432726491730695,0.8770014597786735,0.7890911741445901,0.8566782231224448,0.7251081039036483,0.7443743713410709,0.0,0.0,0.0
s2pp_nc1_skip_1_f4_8_8,seq2pp,s2pp_nc1_skip_1_f4_8_8,"[4, 8, 8]",1,1,2,256.0,1217,0.08715117697914442,0.1450555995106697,0.12919281423091888,0.7538928948662031,0.8778812538756776,0.7916436613715978,0.8595004908217232,0.7489097563365859,0.7651955948042302,0.0,0.0,0.0
s2pp_nc1_skip_0_f4_8_8,seq2pp,s2pp_nc1_skip_0_f4_8_8,"[4, 8, 8]",1,0,2,256.0,977,0.09571959376335144,0.15942009165883064,0.13287413492798805,0.7327366169397671,0.8627811983689863,0.7978855390128019,0.8397938608677554,0.7195118849527132,0.7632821457954776,0.0,0.0,0.0
s2pp_nc1_skip_1_f4_4_32,seq2pp,s2pp_nc1_skip_1_f4_4_32,"[4, 4, 32]",1,1,2,1024.0,1261,0.08782009532054265,0.15335661359131336,0.13503793627023697,0.7559216461144952,0.8772392671479498,0.786105494921343,0.8594129720169567,0.7404049213828652,0.7688106179116325,0.0,0.0,0.0
s2pp_nc1_skip_0_f4_4_32,seq2pp,s2pp_nc1_skip_0_f4_4_32,"[4, 4, 32]",1,0,2,1024.0,1165,0.09401898880799611,0.1531558632850647,0.13099831342697144,0.7355836297916267,0.864957828077862,0.7780251338870892,0.8435012761238705,0.7213160544300097,0.7647428007134555,0.0,0.0,0.0
s2pp_nc1_skip_1_f4_4_16,seq2pp,s2pp_nc1_skip_1_f4_4_16,"[4, 4, 16]",1,1,2,512.0,829,0.10065575689077377,0.15997883677482605,0.11989827454090118,0.7329577616744656,0.8571009320606533,0.8139434445680702,0.8345242453655282,0.7105524957611717,0.7856990777265201,0.0,0.0,0.0
s2pp_nc1_skip_0_f4_4_16,seq2pp,s2pp_nc1_skip_0_f4_4_16,"[4, 4, 16]",1,0,2,512.0,733,0.10563025573889415,0.15407080575823784,0.12645118683576584,0.7205988565920878,0.8474102860251465,0.7901992969680995,0.8203429053496757,0.7188390648157068,0.7677841594020282,0.0,0.0,0.0
s2pp_nc1_skip_1_f4_4_8,seq2pp,s2pp_nc1_skip_1_f4_4_8,"[4, 4, 8]",1,1,2,256.0,613,0.1040136697391669,0.15138519182801247,0.139813844114542,0.7361603814990418,0.8504311514923214,0.7688880546088855,0.8279780778222213,0.7246919736741473,0.7474717102962946,0.0,0.0,0.0
