run_name,exp,run,arc_features,arc_kernels,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
scnn_k_3_f8_64_64_64,SimpleCNN_no_pooling,scnn_k_3_f8_64_64_64,"[8, 64, 64, 64]","[3, 3, 3, 3]",26873,0.04497326339284579,0.15872778743505478,0.12270296178758144,0.7546349993064673,0.940074136820185,0.8080997970313063,0.9320915624017172,0.7503924839246727,0.7866765246716333,0.0,0.0,0.0
scnn_k_3_f8_32_64_64,SimpleCNN_no_pooling,scnn_k_3_f8_32_64_64,"[8, 32, 64, 64]","[3, 3, 3, 3]",19865,0.05080986445148786,0.15536295622587204,0.12367720156908035,0.7628095751077306,0.9319479896550842,0.8146364092213779,0.9229057986577619,0.7562926861046835,0.794141374382602,0.0,0.0,0.0
scnn_k_3_f8_32_32_64,SimpleCNN_no_pooling,scnn_k_3_f8_32_32_64,"[8, 32, 32, 64]","[3, 3, 3, 3]",10553,0.05811060269673665,0.16024184972047806,0.12425524927675724,0.7560862084189068,0.9207077248870196,0.8129640051512927,0.9100252554610927,0.7416517141344289,0.7868998372803886,0.0,0.0,0.0
scnn_k_3_f8_32_32_32,SimpleCNN_no_pooling,scnn_k_3_f8_32_32_32,"[8, 32, 32, 32]","[3, 3, 3, 3]",7353,0.0618707990894715,0.15378981456160545,0.12306386977434158,0.7578613784808137,0.9160659559406855,0.8068950537384768,0.9044538364114015,0.7497449152326464,0.7852550100631761,0.0,0.0,0.0
scnn_k_3_f8_16_64_64,SimpleCNN_no_pooling,scnn_k_3_f8_16_64_64,"[8, 16, 64, 64]","[3, 3, 3, 3]",16361,0.0542271160831054,0.1552404910326004,0.12473966926336288,0.755964841786019,0.9271744932195174,0.8125924336636787,0.917311253939001,0.7472120269149769,0.7882873033112302,0.0,0.0,0.0
scnn_k_3_f8_16_32_64,SimpleCNN_no_pooling,scnn_k_3_f8_16_32_64,"[8, 16, 32, 64]","[3, 3, 3, 3]",8585,0.06163091510534287,0.1587558276951313,0.11856438405811787,0.7468471730040885,0.9167546840168824,0.8303676453947971,0.9052363964767701,0.7348323671925221,0.8095929523714293,0.0,0.0,0.0
scnn_k_3_f8_16_32_32,SimpleCNN_no_pooling,scnn_k_3_f8_16_32_32,"[8, 16, 32, 32]","[3, 3, 3, 3]",5385,0.06700337454676628,0.15541747584939003,0.12320797704160213,0.7619545366080542,0.9089174630770849,0.8130446790833255,0.8961473966523344,0.7489349456436334,0.787093889351641,0.0,0.0,0.0
scnn_k_3_f8_16_16_64,SimpleCNN_no_pooling,scnn_k_3_f8_16_16_64,"[8, 16, 16, 64]","[3, 3, 3, 3]",4697,0.0723296129455169,0.15777842700481415,0.12674391083419323,0.7491502961999902,0.9003594344152233,0.8061859959579366,0.8864811612304581,0.7363554792872333,0.7793973141395929,0.0,0.0,0.0
scnn_k_3_f8_16_16_32,SimpleCNN_no_pooling,scnn_k_3_f8_16_16_32,"[8, 16, 16, 32]","[3, 3, 3, 3]",3033,0.07537397729853788,0.16782594472169876,0.13803058490157127,0.7462787946062699,0.895821474068576,0.7862675361211885,0.8808530265228606,0.7231455787380988,0.762530243470348,0.0,0.0,0.0
scnn_k_3_f8_16_16_16,SimpleCNN_no_pooling,scnn_k_3_f8_16_16_16,"[8, 16, 16, 16]","[3, 3, 3, 3]",2201,0.08242389212052027,0.1689964234828949,0.13028560392558575,0.7363183898049781,0.8848008671388672,0.7976714988071472,0.8678230363482159,0.7012964855748307,0.7650303069394382,0.0,0.0,0.0
scnn_k_3_f8_8_64_64,SimpleCNN_no_pooling,scnn_k_3_f8_8_64_64,"[8, 8, 64, 64]","[3, 3, 3, 3]",14609,0.0626958234856526,0.1623548697680235,0.13179521262645721,0.7480172563039249,0.9140917770711818,0.8005190737084814,0.9023771503366799,0.7336066624710076,0.7763091951228781,0.0,0.0,0.0
scnn_k_3_f8_8_32_64,SimpleCNN_no_pooling,scnn_k_3_f8_8_32_64,"[8, 8, 32, 64]","[3, 3, 3, 3]",7601,0.07117701297005018,0.15987880900502205,0.14505944773554802,0.7450599185489886,0.9025159936641264,0.7627129216950104,0.8885581024814381,0.7343280008352776,0.7430776216516145,0.0,0.0,0.0
