run_name,exp,run,arc_features,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
nc2_f4,SimpleCNN,nc2_f4,[4],2,512.0,65789,0.015544066795458396,0.13846448063850403,0.06266377307474613,0.8021816371521553,0.9829401248073261,0.916076272045592,0.9807058983808765,0.813353796046228,0.9053195110953758,0.0,0.0,0.0
nc1_f16_32_64,SimpleCNN,nc1_f16_32_64,"[16, 32, 64]",1,2048.0,270545,0.008805918134748935,0.11695280857384205,0.04973043967038393,0.8296021535540613,0.9899537688161387,0.9310186557185891,0.9886717159293229,0.834929436556449,0.9226166975470376,0.0,0.0,0.0
nc1_f8_32_64,SimpleCNN,nc1_f8_32_64,"[8, 32, 64]",1,2048.0,269657,0.009384432900696993,0.13868560269474983,0.05641322676092386,0.8019895154566345,0.9893607980295961,0.9224886685629793,0.9880152668949865,0.8073681412304743,0.9125201331862539,0.0,0.0,0.0
nc1_f8_16_64,SimpleCNN,nc1_f8_16_64,"[8, 16, 64]",1,2048.0,266153,0.008443974532807867,0.11286344192922115,0.052588450722396374,0.8411564783803004,0.9904336998191945,0.9273814444420706,0.989222262536882,0.8490276613402181,0.9183591913419152,0.0,0.0,0.0
nc1_f8_16_32,SimpleCNN,nc1_f8_16_32,"[8, 16, 32]",1,1024.0,133417,0.011182350541154544,0.13670633733272552,0.06311280187219381,0.8084831215274204,0.9872460856565051,0.9116315419086333,0.9856354292782462,0.8172218841765534,0.9015859792152452,0.0,0.0,0.0
nc1_f4_32_64,SimpleCNN,nc1_f4_32_64,"[4, 32, 64]",1,2048.0,269213,0.009430321616431077,0.12865253165364265,0.06435038521885872,0.815237623662879,0.9893953537567701,0.9117059873875328,0.9880385811551805,0.8227248363423567,0.8997804041547023,0.0,0.0,0.0
nc1_f4_16_64,SimpleCNN,nc1_f4_16_64,"[4, 16, 64]",1,2048.0,265901,0.010402306914329529,0.1385298054665327,0.06428055744618177,0.805698473402988,0.9882736377967767,0.9090525081269966,0.9867700874881319,0.8105644122489184,0.8983070477118303,0.0,0.0,0.0
nc1_f4_16_32,SimpleCNN,nc1_f4_16_32,"[4, 16, 32]",1,1024.0,133165,0.012089250547190507,0.12913307547569275,0.06245414726436138,0.8139351597420657,0.9863943463420732,0.9127316163247791,0.984639269204278,0.8218881482057777,0.9021899859933363,0.0,0.0,0.0
nc1_f4_8_64,SimpleCNN,nc1_f4_8_64,"[4, 8, 64]",1,2048.0,264245,0.009908535455664,0.1291978470981121,0.061204127967357635,0.8122528886067206,0.9888337173869054,0.9170455174515415,0.9874078202459458,0.8234380120049265,0.9059243227811877,0.0,0.0,0.0
nc1_f4_8_32,SimpleCNN,nc1_f4_8_32,"[4, 8, 32]",1,1024.0,132277,0.012896155597021182,0.14169363863766193,0.07631689868867397,0.8003409226370469,0.9851224407558193,0.8895192243332235,0.9832226367547882,0.8101971598527696,0.878920759526173,0.0,0.0,0.0
nc1_f4_8_16,SimpleCNN,nc1_f4_8_16,"[4, 8, 16]",1,512.0,66293,0.014492905978113414,0.15086448565125465,0.06983583234250546,0.8030532195679843,0.9835250617758902,0.9025905996308284,0.9813985005582241,0.801063454769355,0.8896268007042404,0.0,0.0,0.0
nc1_f32_64,SimpleCNN,nc1_f32_64,"[32, 64]",1,4096.0,531297,0.02511558197438717,0.13426265306770802,0.06092257983982563,0.8187475475954229,0.9724815430776861,0.9242089467291007,0.9690080511168173,0.825813158247788,0.9145903054105964,0.0,0.0,0.0
nc1_f16_64,SimpleCNN,nc1_f16_64,"[16, 64]",1,4096.0,527985,0.009535138914361595,0.1180590558797121,0.048302557319402695,0.8317146161502428,0.9894637623516563,0.9343289680572618,0.9880904106519641,0.8354170078229672,0.9257830149519792,0.0,0.0,0.0
nc1_f16_32,SimpleCNN,nc1_f16_32,"[16, 32]",1,2048.0,264177,0.012109294192244609,0.11824338138103485,0.051147506572306156,0.832153139831056,0.9865346809989934,0.9317801357219457,0.9848265385500092,0.8391848415919543,0.9230673582103591,0.0,0.0,0.0
nc1_f8_64,SimpleCNN,nc1_f8_64,"[8, 64]",1,4096.0,526329,0.012744110201795895,0.12576196901500225,0.05314313992857933,0.823812395961312,0.9858768416103598,0.928858376414512,0.9840407703112138,0.8294127185241799,0.919725394977728,0.0,0.0,0.0
nc1_f8_32,SimpleCNN,nc1_f8_32,"[8, 32]",1,2048.0,263289,0.011096135961512725,0.12201339937746525,0.051521945744752884,0.8224888791103763,0.9877464200828665,0.9299738653669978,0.986160364823786,0.8307770158357998,0.92118887913831,0.0,0.0,0.0
