run_name,arc_features,arc_skip,arc_num_conv,arc_latent_volume,arc_encoder_blocks,n_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
nc-2-n4-1-n8-1-skip0-14,"[4, 4, 8]",0,2,256.0,2,14,,,0.16464979946613312,,,0.6433392457082509,,,0.749920927713297,,,0.0
nc-2-n4-1-n8-1-skip0-16,"[4, 4, 8]",0,2,256.0,2,16,,,0.16444966197013855,,,0.6433392457082509,,,0.749920927713297,,,0.0
nc-2-n4-1-n8-1-skip0-18,"[4, 4, 8]",0,2,256.0,2,18,,,0.1644972786307335,,,0.6431689698140373,,,0.749920927713297,,,0.0
nc-2-n4-1-n8-1-skip0-20,"[4, 4, 8]",0,2,256.0,2,20,,,0.16477226465940475,,,0.6431573645297283,,,0.7499065053535962,,,0.0
nc-2-n4-1-n8-1-skip0-22,"[4, 4, 8]",0,2,256.0,2,22,,,0.16452331840991974,,,0.6430392391399297,,,0.7497482605035295,,,0.0
nc-2-n4-1-n8-1-skip0-24,"[4, 4, 8]",0,2,256.0,2,24,,,0.16479941457509995,,,0.6430698919984159,,,0.7499664146784718,,,0.0
nc-2-n4-1-n8-1-skip0-26,"[4, 4, 8]",0,2,256.0,2,26,,,0.1645110324025154,,,0.643151655431393,,,0.7499040849142026,,,0.0
nc-2-n4-1-n8-1-skip0-28,"[4, 4, 8]",0,2,256.0,2,28,,,0.1642281413078308,,,0.6430850504098939,,,0.7498872421151082,,,0.0
nc-2-n4-1-n8-1-skip0-30,"[4, 4, 8]",0,2,256.0,2,30,,,0.16440048068761826,,,0.643307947121841,,,0.749920927713297,,,0.0
nc-2-n4-1-n8-1-skip0,"[4, 4, 8]",0,2,256.0,2,0,0.170505024989446,0.15530311316251755,,0.6434697974203425,0.6434192584066806,,0.7497693142886479,0.7500202679269645,,0.0,0.0,
nc-2-n4-0-n8-2-skip1-0,"[4, 8, 8]",1,2,256.0,2,0,,,0.11616705730557442,,,0.7517260494992124,,,0.8036506196656037,,,0.0
nc-2-n4-0-n8-2-skip1-2,"[4, 8, 8]",1,2,256.0,2,2,,,0.11619890853762627,,,0.7519092270138737,,,0.8037729590314091,,,0.0
nc-2-n4-0-n8-2-skip1-4,"[4, 8, 8]",1,2,256.0,2,4,,,0.1158909797668457,,,0.753269154740896,,,0.8045305979602144,,,0.0
nc-2-n4-0-n8-2-skip1-6,"[4, 8, 8]",1,2,256.0,2,6,,,0.11634989827871323,,,0.7520336023719794,,,0.8037803206262504,,,0.0
nc-2-n4-0-n8-2-skip1-8,"[4, 8, 8]",1,2,256.0,2,8,,,0.11670209094882011,,,0.7512043772742281,,,0.8033344307954519,,,0.0
nc-2-n4-0-n8-2-skip1-10,"[4, 8, 8]",1,2,256.0,2,10,,,0.11643727496266365,,,0.751350310146585,,,0.803435287036697,,,0.0
nc-2-n4-0-n8-2-skip1-12,"[4, 8, 8]",1,2,256.0,2,12,,,0.11651378497481346,,,0.7512523391533541,,,0.8033602534154967,,,0.0
nc-2-n4-0-n8-2-skip1-14,"[4, 8, 8]",1,2,256.0,2,14,,,0.11656086519360542,,,0.7515150019973573,,,0.8034910574194094,,,0.0
nc-2-n4-0-n8-2-skip1-16,"[4, 8, 8]",1,2,256.0,2,16,,,0.11634679138660431,,,0.7526078349267629,,,0.8040883456882766,,,0.0
nc-2-n4-0-n8-2-skip1-18,"[4, 8, 8]",1,2,256.0,2,18,,,0.11659376323223114,,,0.7517406019387602,,,0.8036727044501273,,,0.0
nc-2-n4-0-n8-2-skip1-20,"[4, 8, 8]",1,2,256.0,2,20,,,0.11622664332389832,,,0.7526225170749388,,,0.8041713425642814,,,0.0
