run_name,exp,run,arc_features,arc_skip,arc_encoder_blocks,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2m_skip1_combsf4_8_64_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_64_256_512,"[4, 8, 64, 256, 512]",1,4,2,4096.0,2518417,0.037490266879710056,0.06834279426506587,0.06236427064452853,0.7840365150275677,0.8703931913804842,0.7686053898677205,0.858790410634387,0.7702789649905012,0.7528663348830473,0.0,0.0,0.0
s2m_skip0_combsf4_8_64_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_64_256_512,"[4, 8, 64, 256, 512]",0,4,2,4096.0,2309281,0.03430621170749267,0.08994486289364952,0.07250085100531578,0.751274832810058,0.8829979863173111,0.7400366835364703,0.8731687552335169,0.7218427612302489,0.7281295642236769,0.0,0.0,0.0
s2m_skip1_combsf4_8_64_128_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_64_128_512,"[4, 8, 64, 128, 512]",1,4,2,4096.0,1484561,0.035701647478466235,0.0704789108463696,0.06370261151875768,0.749609935346727,0.8765211069290412,0.7642616174302862,0.8659611216530454,0.7608039098888798,0.7561757890971972,0.0,0.0,0.0
s2m_skip0_combsf4_8_64_128_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_64_128_512,"[4, 8, 64, 128, 512]",0,4,2,4096.0,1422881,0.03466096982204666,0.07552253029176167,0.07158372231892177,0.7553215668622011,0.8807590148129142,0.7309703154631587,0.8705465190203641,0.7468902761284955,0.7175714954518837,0.0,0.0,0.0
s2m_skip1_combsf4_8_64_128_256,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_64_128_256,"[4, 8, 64, 128, 256]",1,4,2,2048.0,696593,0.025610178631419938,0.07009347208908626,0.06776336101549012,0.775283198982289,0.9150088809219509,0.7640982145405429,0.9080746427977648,0.7759017972342663,0.7512599834920924,0.0,0.0,0.0
s2m_skip0_combsf4_8_64_128_256,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_64_128_256,"[4, 8, 64, 128, 256]",0,4,2,2048.0,634913,0.03049116814509034,0.07910911525998797,0.07251744185175214,0.7531048974933776,0.8967768996907637,0.7239182439432249,0.8884541301975856,0.7405090958925792,0.7212291546230754,0.0,0.0,0.0
s2m_skip1_combsf4_8_32_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_32_256_512,"[4, 8, 32, 256, 512]",1,4,2,4096.0,2430449,0.022263635493194062,0.0738897632275309,0.07059486795748983,0.7831221827556691,0.9276955198731857,0.7502763208663916,0.9223405779202841,0.7713772538493843,0.7403288729886456,0.0,0.0,0.0
s2m_skip0_combsf4_8_32_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_32_256_512,"[4, 8, 32, 256, 512]",0,4,2,4096.0,2230529,0.03406747383996844,0.07600767484733037,0.07071582973003387,0.751782339526071,0.8829509735768575,0.7457900041641686,0.8728189633931299,0.7463904218450274,0.7291308448328607,0.0,0.0,0.0
s2m_skip1_combsf4_8_32_128_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_32_128_512,"[4, 8, 32, 128, 512]",1,4,2,4096.0,1421169,0.03685437926712135,0.0753050691315106,0.06799356320074626,0.7575267519873049,0.873105670455148,0.7611814558396898,0.8617180550596077,0.7441901146997124,0.7376603562304048,0.0,0.0,0.0
s2m_skip0_combsf4_8_32_128_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_32_128_512,"[4, 8, 32, 128, 512]",0,4,2,4096.0,1368705,0.029844505867610376,0.07767946911709649,0.07278521199311529,0.7515783356696623,0.900129854892365,0.7548660422934079,0.8914929262347878,0.750606931259002,0.733971867221194,0.0,0.0,0.0
s2m_skip1_combsf4_8_32_128_256,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_32_128_256,"[4, 8, 32, 128, 256]",1,4,2,2048.0,633201,0.03253904912465563,0.07247432001999446,0.06656177767685481,0.7617939601320491,0.8896578186230109,0.762278454832588,0.8800853885773682,0.7606592014000055,0.7500935896803161,0.0,0.0,0.0
s2m_skip0_combsf4_8_32_128_256,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_32_128_256,"[4, 8, 32, 128, 256]",0,4,2,2048.0,580737,0.03101232574166109,0.08001642035586494,0.07341381055968148,0.7652631356482464,0.8970066908959117,0.7420064494861123,0.8878191346628402,0.7427757862169121,0.714277771173781,0.0,0.0,0.0
s2m_skip1_combsf4_8_32_64_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_32_64_512,"[4, 8, 32, 64, 512]",1,4,2,4096.0,1063985,0.02753815846517682,0.07590085374457496,0.06276191504938262,0.7803790124671627,0.9090665083456883,0.7740936875786562,0.9016309345690853,0.7542210146082223,0.7637227253945998,0.0,0.0,0.0
s2m_skip0_combsf4_8_32_64_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_32_64_512,"[4, 8, 32, 64, 512]",0,4,2,4096.0,1048385,0.03333322455485662,0.08013738159622465,0.07471302045243126,0.7424436604444143,0.8874322469309387,0.7311751676051613,0.8774686826302531,0.7272758281721134,0.715707442436212,0.0,0.0,0.0
s2m_skip1_combsf4_8_32_64_256,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_32_64_256,"[4, 8, 32, 64, 256]",1,4,2,2048.0,374321,0.034010303827623524,0.06807372399738856,0.06503029220870563,0.7865196092724522,0.8839309068343167,0.7710513912300161,0.8737834462698705,0.7750768946454271,0.7529822836283376,0.0,0.0,0.0
s2m_skip0_combsf4_8_32_64_256,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_32_64_256,"[4, 8, 32, 64, 256]",0,4,2,2048.0,358721,0.028998106679258246,0.08424305383648191,0.07178967871836253,0.7413841482930416,0.9044413915569266,0.7375810182202757,0.8963445849943059,0.736700966102619,0.7252959534613689,0.0,0.0,0.0
s2m_skip1_combsf4_8_32_64_128,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_32_64_128,"[4, 8, 32, 64, 128]",1,4,2,1024.0,176945,0.040093074358689286,0.07500462446893964,0.06542694142886571,0.7455476869053106,0.8598961125935339,0.750620280594482,0.8481768820278585,0.7481535052861583,0.7508044730581853,0.0,0.0,0.0
s2m_skip0_combsf4_8_32_64_128,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_32_64_128,"[4, 8, 32, 64, 128]",0,4,2,1024.0,161345,0.053026349594195686,0.08592907658645085,0.07330361221517835,0.6797082672853595,0.8031518117241777,0.7244749577204563,0.7839015983077863,0.693698366028597,0.7003179163391461,0.0,0.0,0.0
s2m_skip1_combsf4_8_16_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_16_256_512,"[4, 8, 16, 256, 512]",1,4,2,4096.0,2395681,0.026139749330468476,0.07585665690047401,0.06651697627135686,0.7782001098297963,0.9142177529892019,0.7682438015483258,0.9071235791946096,0.7601016805635271,0.7446552158988592,0.0,0.0,0.0
s2m_skip0_combsf4_8_16_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_16_256_512,"[4, 8, 16, 256, 512]",0,4,2,4096.0,2198065,0.05228449225736161,0.08170679211616516,0.07516347616910934,0.7402649880098736,0.8077643892838071,0.7193704182854672,0.7893464550932318,0.7009846585484286,0.6916834298006732,0.0,0.0,0.0
s2m_skip1_combsf4_8_16_128_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_16_128_512,"[4, 8, 16, 128, 512]",1,4,2,4096.0,1398689,0.02591262082569301,0.0749013562287603,0.06894562925611224,0.7612953935016283,0.9154662011872445,0.7606244267230627,0.9087486805284583,0.762708568020483,0.7389557432692582,0.0,0.0,0.0
