run_name,arc_features,arc_skip,arc_num_conv,n_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
nc-1-n4-1-n8-1-skip1,"[4, 4, 4, 4, 8, 8, 8]",0,1,0,0.15484883934259414,0.14663484266826085,,0.6428571428571429,0.6429604390846051,,0.7498069498069497,0.75,,0.0,0.0,
nc-1-n4-1-n8-0-skip1-0,"[4, 4, 4, 4, 8, 8, 8]",0,1,0,,,0.1514545939862728,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-1,"[4, 4, 4, 4, 8, 8, 8]",0,1,1,,,0.1514920648187399,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-2,"[4, 4, 4, 4, 8, 8, 8]",0,1,2,,,0.1515058744698763,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-3,"[4, 4, 4, 4, 8, 8, 8]",0,1,3,,,0.1514714863151312,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-4,"[4, 4, 4, 4, 8, 8, 8]",0,1,4,,,0.15159797854721546,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-5,"[4, 4, 4, 4, 8, 8, 8]",0,1,5,,,0.15174696408212185,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-6,"[4, 4, 4, 4, 8, 8, 8]",0,1,6,,,0.15176331996917725,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-7,"[4, 4, 4, 4, 8, 8, 8]",0,1,7,,,0.15161441266536713,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-8,"[4, 4, 4, 4, 8, 8, 8]",0,1,8,,,0.15156669914722443,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-9,"[4, 4, 4, 4, 8, 8, 8]",0,1,9,,,0.1516290307044983,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-10,"[4, 4, 4, 4, 8, 8, 8]",0,1,10,,,0.1518165748566389,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-11,"[4, 4, 4, 4, 8, 8, 8]",0,1,11,,,0.15163359604775906,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-12,"[4, 4, 4, 4, 8, 8, 8]",0,1,12,,,0.15192695148289204,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-13,"[4, 4, 4, 4, 8, 8, 8]",0,1,13,,,0.15163795091211796,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-14,"[4, 4, 4, 4, 8, 8, 8]",0,1,14,,,0.1518215648829937,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-15,"[4, 4, 4, 4, 8, 8, 8]",0,1,15,,,0.15219954028725624,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-16,"[4, 4, 4, 4, 8, 8, 8]",0,1,16,,,0.15190301835536957,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-17,"[4, 4, 4, 4, 8, 8, 8]",0,1,17,,,0.15192502923309803,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-18,"[4, 4, 4, 4, 8, 8, 8]",0,1,18,,,0.1519555952399969,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-19,"[4, 4, 4, 4, 8, 8, 8]",0,1,19,,,0.15195048041641712,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-20,"[4, 4, 4, 4, 8, 8, 8]",0,1,20,,,0.15231281705200672,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-21,"[4, 4, 4, 4, 8, 8, 8]",0,1,21,,,0.15176941454410553,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-22,"[4, 4, 4, 4, 8, 8, 8]",0,1,22,,,0.15196788869798183,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-23,"[4, 4, 4, 4, 8, 8, 8]",0,1,23,,,0.15189852192997932,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-24,"[4, 4, 4, 4, 8, 8, 8]",0,1,24,,,0.15218246541917324,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-25,"[4, 4, 4, 4, 8, 8, 8]",0,1,25,,,0.15192804299294949,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-26,"[4, 4, 4, 4, 8, 8, 8]",0,1,26,,,0.1519113015383482,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-27,"[4, 4, 4, 4, 8, 8, 8]",0,1,27,,,0.15198462642729282,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-28,"[4, 4, 4, 4, 8, 8, 8]",0,1,28,,,0.15199449099600315,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-29,"[4, 4, 4, 4, 8, 8, 8]",0,1,29,,,0.15222292579710484,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1-30,"[4, 4, 4, 4, 8, 8, 8]",0,1,30,,,0.15243505500257015,,,0.6428571428571428,,,0.75,,,0.0
nc-1-n4-1-n8-0-skip1,"[4, 4, 4, 4, 8, 8, 8]",0,1,0,0.15399866923689842,0.1456234199660165,,0.6428571428571429,0.642857142857143,,0.75,0.75,,0.0,0.0,
nc-1-n4-0-n8-1-skip1-0,"[4, 4, 4, 4, 8, 8, 8]",1,1,0,,,0.00046096418736851774,,,0.9996845882988269,,,0.9996846705424324,,,0.8736979216337204
nc-1-n4-0-n8-1-skip1-1,"[4, 4, 4, 4, 8, 8, 8]",1,1,1,,,0.00046581887727370486,,,0.999675526387301,,,0.9996756099451578,,,0.8697916716337204
nc-1-n4-0-n8-1-skip1-2,"[4, 4, 4, 4, 8, 8, 8]",1,1,2,,,0.0004699819255620241,,,0.9996651579057815,,,0.9996652511303997,,,0.8658854216337204
nc-1-n4-0-n8-1-skip1-3,"[4, 4, 4, 4, 8, 8, 8]",1,1,3,,,0.000467100504465634,,,0.9996751248135683,,,0.9996752094464589,,,0.8697916716337204
nc-1-n4-0-n8-1-skip1-4,"[4, 4, 4, 4, 8, 8, 8]",1,1,4,,,0.00045298782060854137,,,0.9997038224259563,,,0.9997038970473191,,,0.8815104216337204
nc-1-n4-0-n8-1-skip1-5,"[4, 4, 4, 4, 8, 8, 8]",1,1,5,,,0.0004842871603614185,,,0.9996360613353216,,,0.9996361670796653,,,0.8541666716337204
nc-1-n4-0-n8-1-skip1-6,"[4, 4, 4, 4, 8, 8, 8]",1,1,6,,,0.00046925965580157936,,,0.9996752386624095,,,0.9996753268184246,,,0.8697916716337204
nc-1-n4-0-n8-1-skip1-7,"[4, 4, 4, 4, 8, 8, 8]",1,1,7,,,0.0004941964471072424,,,0.9996108594395605,,,0.999611005143064,,,0.8450520858168602
