run_name,exp,run,arc_features,arc_kernels,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
scnn_k3_f4_32_32,SimpleCNN_cd-hit0_full,scnn_k3_f4_32_32,"[4, 32, 32]","[3, 3, 3]",3741,0.06965774553827941,0.08899157387869698,0.08276390710047313,0.691248575560069,0.7419969132324603,0.6820108320534969,0.7191665808689574,0.681068870442371,0.6712817911302141,0.0,0.0,0.0
scnn_k3_f4_16_64,SimpleCNN_cd-hit0_full,scnn_k3_f4_16_64,"[4, 16, 64]","[3, 3, 3]",3629,0.07139738346450031,0.0951126366853714,0.08325641921588353,0.7096954654620272,0.7358251708218551,0.6849451552563514,0.7110232761678471,0.6618561812372495,0.6608337477626642,0.0,0.0,0.0
scnn_k3_f4_16_32,SimpleCNN_cd-hit0_full,scnn_k3_f4_16_32,"[4, 16, 32]","[3, 3, 3]",1965,0.07220169894086818,0.09118034477744784,0.08339679560491017,0.6757387572209411,0.733202946705378,0.6822447084516144,0.7054818457082578,0.6742310208472231,0.6657418357908629,0.0,0.0,0.0
scnn_k3_f4_16_16,SimpleCNN_cd-hit0_full,scnn_k3_f4_16_16,"[4, 16, 16]","[3, 3, 3]",1133,0.07472454717693229,0.09117704097713743,0.08408735905374799,0.6927965649327839,0.7187898009176097,0.6662257412502391,0.6925380227183914,0.6685123443845075,0.6559866763536507,0.0,0.0,0.0
scnn_k3_f4_8_64,SimpleCNN_cd-hit0_full,scnn_k3_f4_8_64,"[4, 8, 64]","[3, 3, 3]",1973,0.0746717347453038,0.09156257872070585,0.08407575743538993,0.6930201660764415,0.723094529812167,0.6711547861910523,0.694792572353791,0.6661874943880232,0.654842092092342,0.0,0.0,0.0
scnn_k3_f4_8_32,SimpleCNN_cd-hit0_full,scnn_k3_f4_8_32,"[4, 8, 32]","[3, 3, 3]",1077,0.0749186670097212,0.09187132545879909,0.08401107681649071,0.6900563221559125,0.7221820302524614,0.6771708039365688,0.6929979783510878,0.6702186127529176,0.6605519515477211,0.0,0.0,0.0
scnn_k3_f4_8_16,SimpleCNN_cd-hit0_full,scnn_k3_f4_8_16,"[4, 8, 16]","[3, 3, 3]",629,0.07510579470545053,0.09210808255842753,0.08465270272323064,0.6845037470275602,0.7215680422154329,0.6750067770136381,0.690917641486315,0.6644958616906621,0.6577428082677893,0.0,0.0,0.0
scnn_k3_f4_8_8,SimpleCNN_cd-hit0_full,scnn_k3_f4_8_8,"[4, 8, 8]","[3, 3, 3]",405,0.07682360312901437,0.09272260538169316,0.08513081286634717,0.6699096357948137,0.7133816255208091,0.6637034800672481,0.6824040686009852,0.6633111284369865,0.6526331097440551,0.0,0.0,0.0
scnn_k3_f4_4_64,SimpleCNN_cd-hit0_full,scnn_k3_f4_4_64,"[4, 4, 64]","[3, 3, 3]",1145,0.07548839746353526,0.09254178191934313,0.08490257390907832,0.6695312010850337,0.7186415270099807,0.6689223223437679,0.6881222677885311,0.6637462206562293,0.6507171322727582,0.0,0.0,0.0
scnn_k3_f4_4_32,SimpleCNN_cd-hit0_full,scnn_k3_f4_4_32,"[4, 4, 32]","[3, 3, 3]",633,0.0767822611766557,0.09240839311054774,0.08510836746011462,0.6729857517531265,0.7082191138847249,0.6585228037646556,0.6795121669225863,0.6649638819884034,0.6450444200247553,0.0,0.0,0.0
scnn_k3_f4_4_16,SimpleCNN_cd-hit0_full,scnn_k3_f4_4_16,"[4, 4, 16]","[3, 3, 3]",377,0.07762470305897295,0.09367088973522186,0.0858870233808245,0.6783407845229789,0.711220154241937,0.6694069343121162,0.6767127426198236,0.6590042863707862,0.6468887300994268,0.0,0.0,0.0
scnn_k3_f4_4_8,SimpleCNN_cd-hit0_full,scnn_k3_f4_4_8,"[4, 4, 8]","[3, 3, 3]",249,0.07817453751340508,0.0929307011621339,0.0855295934847423,0.6828585471798412,0.7071255247925556,0.6580576046239257,0.6729873802016014,0.663439595246326,0.6464885236988384,0.0,0.0,0.0
scnn_k3_f4_4_4,SimpleCNN_cd-hit0_full,scnn_k3_f4_4_4,"[4, 4, 4]","[3, 3, 3]",185,0.07851055605957906,0.09447144184793745,0.0851745999285153,0.6880090454435609,0.6993063035940024,0.6510207800655418,0.6686438279068078,0.6538546409800052,0.6446261563230155,0.0,0.0,0.0
